parks,playgrounds,sports,roading,resident,children
strongly agree,agree,very important,important,2,0
strongly agree,disagree,not important,not important,3,1
disagree,strongly agree,important,not important,3,2
agree,disagree,important,important,2,1
agree,agree,very important,very important,3,2
disagree,strongly agree,important,important,1,1
agree,disagree,not important,not important,3,2
disagree,strongly agree,very important,important,3,0
strongly agree,strongly agree,important,important,1,1
agree,strongly agree,not important,not important,1,0
agree,agree,not important,very important,3,3
agree,strongly agree,important,not important,2,0
agree,strongly agree,very important,not important,2,0
agree,agree,important,important,2,2
disagree,strongly agree,very important,not important,2,1
disagree,strongly agree,very important,not important,1,0
strongly agree,disagree,not important,not important,2,0
agree,agree,very important,very important,2,3
strongly agree,strongly agree,important,not important,2,1
strongly agree,agree,very important,very important,2,1
strongly agree,strongly agree,very important,very important,1,3
agree,strongly agree,not important,important,3,1
disagree,agree,not important,important,3,0
strongly agree,strongly agree,not important,very important,3,1
disagree,strongly agree,not important,important,2,3
strongly agree,strongly agree,important,important,1,0
strongly agree,strongly agree,important,not important,1,2
disagree,agree,important,not important,2,3
agree,agree,important,very important,3,2
strongly agree,disagree,important,important,2,3
strongly agree,disagree,not important,very important,1,1
agree,agree,important,very important,3,1
strongly agree,agree,very important,important,1,1
agree,strongly agree,very important,not important,1,2
strongly agree,strongly agree,important,important,3,3
agree,strongly agree,not important,important,3,3
disagree,agree,very important,not important,1,1
agree,strongly agree,important,not important,2,1
agree,strongly agree,not important,not important,1,2
disagree,disagree,not important,very important,3,1
agree,agree,important,important,3,3
disagree,agree,very important,not important,3,3
agree,disagree,very important,very important,2,3
agree,disagree,very important,not important,2,2
disagree,agree,not important,important,2,3
disagree,strongly agree,not important,important,3,2
disagree,agree,very important,not important,3,1
agree,strongly agree,not important,very important,2,1
agree,disagree,important,not important,3,3
disagree,disagree,important,not important,3,3
disagree,strongly agree,important,important,1,0
agree,agree,not important,very important,1,3
agree,disagree,very important,very important,3,2
strongly agree,disagree,very important,very important,3,2
disagree,strongly agree,important,not important,1,2
agree,agree,very important,very important,1,2
agree,agree,important,not important,3,2
disagree,agree,very important,important,1,2
disagree,disagree,important,not important,1,1
agree,agree,important,very important,1,2
agree,strongly agree,not important,very important,3,0
agree,disagree,not important,important,1,1
agree,agree,important,important,2,2
disagree,agree,very important,important,3,0
agree,agree,not important,very important,1,2
agree,strongly agree,very important,very important,3,2
agree,disagree,important,important,2,0
disagree,agree,very important,not important,2,3
agree,strongly agree,important,important,1,2
agree,agree,very important,very important,3,2
disagree,agree,important,important,2,1
strongly agree,disagree,very important,important,2,3
disagree,strongly agree,important,important,2,2
agree,agree,not important,very important,3,2
agree,disagree,important,very important,3,2
agree,strongly agree,important,very important,2,3
disagree,disagree,very important,not important,1,3
disagree,disagree,not important,important,3,0
disagree,agree,not important,very important,3,0
strongly agree,strongly agree,not important,important,2,2
disagree,disagree,very important,not important,3,2
strongly agree,disagree,important,very important,3,1
agree,disagree,very important,not important,2,1
strongly agree,disagree,very important,very important,2,2
disagree,disagree,important,very important,3,0
agree,strongly agree,not important,very important,2,3
disagree,agree,important,important,2,0
strongly agree,agree,very important,not important,3,2
agree,agree,very important,very important,1,2
disagree,disagree,not important,very important,1,2
strongly agree,agree,not important,very important,3,2
strongly agree,strongly agree,very important,not important,3,3
disagree,strongly agree,very important,very important,3,0
agree,agree,not important,not important,3,1
strongly agree,disagree,very important,very important,1,2
strongly agree,strongly agree,important,very important,1,1
strongly agree,strongly agree,very important,not important,3,3
strongly agree,disagree,not important,very important,2,3
agree,disagree,important,important,1,0
strongly agree,disagree,important,important,1,2
agree,strongly agree,important,very important,1,0
disagree,strongly agree,important,important,1,3
disagree,strongly agree,very important,very important,2,1
strongly agree,disagree,very important,not important,3,3
agree,disagree,not important,not important,2,2
disagree,agree,important,important,1,2
disagree,disagree,important,important,1,0
strongly agree,disagree,very important,very important,3,3
disagree,agree,important,very important,2,2
disagree,strongly agree,important,not important,2,3
agree,disagree,not important,important,2,0
strongly agree,agree,not important,very important,1,3
agree,agree,not important,very important,2,2
strongly agree,disagree,very important,not important,2,2
disagree,strongly agree,important,important,1,0
agree,strongly agree,important,very important,3,1
agree,strongly agree,very important,very important,1,0
strongly agree,agree,important,not important,1,3
disagree,disagree,important,not important,1,0
disagree,strongly agree,important,very important,2,0
disagree,agree,important,not important,2,0
agree,agree,very important,important,3,2
disagree,agree,not important,important,3,0
strongly agree,agree,important,very important,1,3
disagree,strongly agree,important,very important,1,0
strongly agree,strongly agree,not important,important,3,3
